Date,Category,Type,Amount (USD),Description
2024-07-08,Savings,Goal,998,Random savings transaction
2024-11-13,Savings,Goal,6139,Random savings transaction
2024-01-20,Salary,Income,209,Random salary transaction
2024-03-01,Miscellaneous,Expense,4954,Random miscellaneous transaction
2024-09-23,Insurance,Expense,2529,Random insurance transaction
2024-12-31,Freelance Income,Income,6154,Random freelance income transaction
2024-01-21,Groceries,Expense,332,Random groceries transaction
2024-06-08,Insurance,Expense,2809,Random insurance transaction
2024-09-06,Salary,Income,591,Random salary transaction
2024-03-29,Salary,Income,5722,Random salary transaction
2024-01-28,Loan Payment,Expense,3060,Random loan payment transaction
2024-11-29,Salary,Income,4733,Random salary transaction
2024-06-29,Loan Payment,Expense,1157,Random loan payment transaction
2024-03-02,Utilities,Expense,3067,Random utilities transaction
2024-01-05,Groceries,Expense,4162,Random groceries transaction
2024-06-24,Dining Out,Expense,2196,Random dining out transaction
2024-02-25,Salary,Income,1038,Random salary transaction
2024-10-16,Dining Out,Expense,2680,Random dining out transaction
2024-03-25,Utilities,Expense,4617,Random utilities transaction
2024-12-14,Entertainment,Expense,3978,Random entertainment transaction
2024-11-13,Transportation,Expense,4226,Random transportation transaction
2024-10-24,Insurance,Expense,2772,Random insurance transaction
2024-07-20,Dining Out,Expense,2374,Random dining out transaction
2024-11-26,Salary,Income,6913,Random salary transaction
2024-01-14,Transportation,Expense,397,Random transportation transaction
2024-05-14,Loan Payment,Expense,2766,Random loan payment transaction
2024-09-13,Freelance Income,Income,8270,Random freelance income transaction
2024-03-10,Miscellaneous,Expense,3539,Random miscellaneous transaction
2024-02-26,Utilities,Expense,1396,Random utilities transaction
2024-11-07,Loan Payment,Expense,2484,Random loan payment transaction
2024-08-26,Groceries,Expense,4812,Random groceries transaction
2024-10-26,Dining Out,Expense,142,Random dining out transaction
2024-07-14,Rent,Expense,2349,Random rent transaction
2024-02-24,Salary,Income,297,Random salary transaction
2024-04-23,Utilities,Expense,3051,Random utilities transaction
2024-08-24,Insurance,Expense,4806,Random insurance transaction
2024-01-14,Entertainment,Expense,779,Random entertainment transaction
2024-09-24,Insurance,Expense,3706,Random insurance transaction
2024-02-01,Dining Out,Expense,33,Random dining out transaction
2024-08-04,Loan Payment,Expense,3777,Random loan payment transaction
2024-10-13,Loan Payment,Expense,3271,Random loan payment transaction
2024-08-03,Groceries,Expense,2292,Random groceries transaction
2024-02-23,Salary,Income,6759,Random salary transaction
2024-12-09,Rent,Expense,1021,Random rent transaction
2024-06-02,Utilities,Expense,4701,Random utilities transaction
2024-08-29,Utilities,Expense,3257,Random utilities transaction
2024-02-27,Savings,Goal,8172,Random savings transaction
2024-12-28,Loan Payment,Expense,2588,Random loan payment transaction
2024-04-19,Salary,Income,5624,Random salary transaction
2024-03-13,Entertainment,Expense,687,Random entertainment transaction
2024-10-31,Savings,Goal,4271,Random savings transaction
2024-03-30,Transportation,Expense,4126,Random transportation transaction
2024-07-14,Utilities,Expense,3676,Random utilities transaction
2024-06-13,Freelance Income,Income,1885,Random freelance income transaction
2024-02-10,Miscellaneous,Expense,2282,Random miscellaneous transaction
2024-02-06,Utilities,Expense,60,Random utilities transaction
2024-05-17,Insurance,Expense,1291,Random insurance transaction
2024-11-06,Insurance,Expense,2986,Random insurance transaction
2024-09-10,Groceries,Expense,3020,Random groceries transaction
2024-11-30,Savings,Goal,5479,Random savings transaction
2024-09-24,Transportation,Expense,2943,Random transportation transaction
2024-11-08,Salary,Income,8211,Random salary transaction
2024-07-26,Utilities,Expense,4447,Random utilities transaction
2024-08-25,Savings,Goal,1257,Random savings transaction
2024-05-24,Insurance,Expense,3126,Random insurance transaction
2024-01-12,Savings,Goal,9419,Random savings transaction
2024-07-08,Freelance Income,Income,4942,Random freelance income transaction
2024-04-18,Insurance,Expense,196,Random insurance transaction
2024-10-04,Insurance,Expense,489,Random insurance transaction
2024-02-18,Salary,Income,8063,Random salary transaction
2024-07-10,Savings,Goal,7248,Random savings transaction
2024-08-05,Dining Out,Expense,3882,Random dining out transaction
2024-03-27,Groceries,Expense,2417,Random groceries transaction
2024-04-17,Entertainment,Expense,4674,Random entertainment transaction
2024-02-09,Entertainment,Expense,4116,Random entertainment transaction
2024-12-23,Transportation,Expense,1231,Random transportation transaction
2024-03-18,Savings,Goal,6630,Random savings transaction
2024-12-08,Transportation,Expense,3962,Random transportation transaction
2024-03-21,Loan Payment,Expense,1272,Random loan payment transaction
2024-11-01,Freelance Income,Income,4702,Random freelance income transaction
2024-04-19,Entertainment,Expense,3318,Random entertainment transaction
2024-07-11,Freelance Income,Income,8918,Random freelance income transaction
2024-11-12,Groceries,Expense,4285,Random groceries transaction
2024-10-05,Freelance Income,Income,1779,Random freelance income transaction
2024-03-18,Savings,Goal,1969,Random savings transaction
2024-05-21,Entertainment,Expense,1400,Random entertainment transaction
2024-09-21,Salary,Income,8672,Random salary transaction
2024-10-11,Loan Payment,Expense,1555,Random loan payment transaction
2024-02-21,Loan Payment,Expense,1660,Random loan payment transaction
2024-04-16,Transportation,Expense,1009,Random transportation transaction
2024-08-21,Dining Out,Expense,4590,Random dining out transaction
2024-01-27,Entertainment,Expense,788,Random entertainment transaction
2024-08-17,Savings,Goal,1961,Random savings transaction
2024-05-14,Rent,Expense,2129,Random rent transaction
2024-03-06,Savings,Goal,7076,Random savings transaction
2024-11-13,Salary,Income,4157,Random salary transaction
2024-12-24,Transportation,Expense,4331,Random transportation transaction
2024-08-26,Miscellaneous,Expense,3883,Random miscellaneous transaction
2024-02-28,Utilities,Expense,4964,Random utilities transaction
2024-12-18,Groceries,Expense,86,Random groceries transaction
2024-01-12,Salary,Income,7535,Random salary transaction
2024-10-06,Entertainment,Expense,2191,Random entertainment transaction
2024-05-14,Savings,Goal,2312,Random savings transaction
2024-10-11,Rent,Expense,2307,Random rent transaction
2024-12-06,Utilities,Expense,1621,Random utilities transaction
2024-06-04,Entertainment,Expense,1133,Random entertainment transaction
2024-02-07,Groceries,Expense,621,Random groceries transaction
2024-08-28,Groceries,Expense,1587,Random groceries transaction
2024-07-12,Miscellaneous,Expense,3586,Random miscellaneous transaction
2024-03-09,Savings,Goal,3734,Random savings transaction
2024-12-16,Groceries,Expense,2569,Random groceries transaction
2024-10-13,Loan Payment,Expense,3908,Random loan payment transaction
2024-04-19,Miscellaneous,Expense,3471,Random miscellaneous transaction
2024-10-08,Loan Payment,Expense,3589,Random loan payment transaction
2024-05-28,Groceries,Expense,4524,Random groceries transaction
2024-09-08,Dining Out,Expense,195,Random dining out transaction
2024-08-25,Miscellaneous,Expense,1992,Random miscellaneous transaction
2024-08-08,Freelance Income,Income,3747,Random freelance income transaction
2024-08-22,Loan Payment,Expense,2247,Random loan payment transaction
2024-06-24,Loan Payment,Expense,4490,Random loan payment transaction
2024-07-14,Rent,Expense,85,Random rent transaction
2024-03-06,Rent,Expense,225,Random rent transaction
2024-09-29,Transportation,Expense,3583,Random transportation transaction
2024-06-07,Dining Out,Expense,2631,Random dining out transaction
2024-12-11,Utilities,Expense,1005,Random utilities transaction
2024-08-14,Loan Payment,Expense,3928,Random loan payment transaction
2024-08-08,Entertainment,Expense,1039,Random entertainment transaction
2024-04-09,Insurance,Expense,1225,Random insurance transaction
2024-02-08,Transportation,Expense,2125,Random transportation transaction
2024-03-16,Savings,Goal,7555,Random savings transaction
2024-02-13,Groceries,Expense,3937,Random groceries transaction
2024-12-30,Dining Out,Expense,3258,Random dining out transaction
2024-11-20,Utilities,Expense,975,Random utilities transaction
2024-10-02,Salary,Income,7654,Random salary transaction
2024-03-18,Salary,Income,4367,Random salary transaction
2024-02-19,Miscellaneous,Expense,1441,Random miscellaneous transaction
2024-06-23,Utilities,Expense,2852,Random utilities transaction
2024-09-09,Salary,Income,3785,Random salary transaction
2024-05-19,Rent,Expense,3240,Random rent transaction
2024-12-25,Dining Out,Expense,3429,Random dining out transaction
2024-10-08,Transportation,Expense,3160,Random transportation transaction
2024-01-02,Loan Payment,Expense,3159,Random loan payment transaction
2024-07-02,Miscellaneous,Expense,3200,Random miscellaneous transaction
2024-06-06,Groceries,Expense,669,Random groceries transaction
2024-09-02,Savings,Goal,3899,Random savings transaction
2024-01-01,Groceries,Expense,2107,Random groceries transaction
2024-12-24,Dining Out,Expense,510,Random dining out transaction
2024-11-29,Entertainment,Expense,2432,Random entertainment transaction
2024-12-04,Insurance,Expense,2347,Random insurance transaction
2024-02-05,Rent,Expense,4900,Random rent transaction
2024-01-19,Miscellaneous,Expense,1270,Random miscellaneous transaction
2024-10-19,Salary,Income,5369,Random salary transaction
2024-01-28,Miscellaneous,Expense,2511,Random miscellaneous transaction
2024-06-11,Utilities,Expense,3706,Random utilities transaction
2024-06-23,Rent,Expense,4648,Random rent transaction
2024-03-19,Freelance Income,Income,5168,Random freelance income transaction
2024-12-26,Savings,Goal,3883,Random savings transaction
2024-11-03,Freelance Income,Income,5607,Random freelance income transaction
2024-07-12,Freelance Income,Income,2273,Random freelance income transaction
2024-04-22,Groceries,Expense,1952,Random groceries transaction
2024-10-07,Freelance Income,Income,1303,Random freelance income transaction
2024-11-13,Freelance Income,Income,4371,Random freelance income transaction
2024-09-21,Entertainment,Expense,543,Random entertainment transaction
2024-02-01,Loan Payment,Expense,803,Random loan payment transaction
2024-07-09,Transportation,Expense,147,Random transportation transaction
2024-02-10,Rent,Expense,177,Random rent transaction
2024-12-31,Groceries,Expense,4535,Random groceries transaction
2024-03-21,Freelance Income,Income,6712,Random freelance income transaction
2024-03-01,Miscellaneous,Expense,3020,Random miscellaneous transaction
2024-09-28,Loan Payment,Expense,323,Random loan payment transaction
2024-10-21,Utilities,Expense,909,Random utilities transaction
2024-03-26,Entertainment,Expense,755,Random entertainment transaction
2024-05-23,Savings,Goal,2197,Random savings transaction
2024-03-16,Groceries,Expense,897,Random groceries transaction
2024-06-16,Rent,Expense,1303,Random rent transaction
2024-05-12,Loan Payment,Expense,1526,Random loan payment transaction
2024-02-22,Loan Payment,Expense,1596,Random loan payment transaction
2024-07-16,Savings,Goal,1716,Random savings transaction
2024-07-31,Savings,Goal,3861,Random savings transaction
2024-05-28,Transportation,Expense,420,Random transportation transaction
2024-03-22,Miscellaneous,Expense,4697,Random miscellaneous transaction
2024-11-11,Dining Out,Expense,1288,Random dining out transaction
2024-06-07,Miscellaneous,Expense,2905,Random miscellaneous transaction
2024-11-02,Loan Payment,Expense,861,Random loan payment transaction
2024-09-14,Insurance,Expense,4114,Random insurance transaction
2024-03-04,Dining Out,Expense,4290,Random dining out transaction
2024-02-06,Entertainment,Expense,2370,Random entertainment transaction
2024-06-30,Salary,Income,5576,Random salary transaction
2024-06-14,Savings,Goal,2793,Random savings transaction
2024-12-31,Loan Payment,Expense,3573,Random loan payment transaction
2024-06-04,Salary,Income,5330,Random salary transaction
2024-08-29,Rent,Expense,3048,Random rent transaction
2024-05-18,Freelance Income,Income,9377,Random freelance income transaction
2024-05-14,Dining Out,Expense,1913,Random dining out transaction
2024-06-10,Miscellaneous,Expense,4078,Random miscellaneous transaction
2024-05-12,Miscellaneous,Expense,2588,Random miscellaneous transaction
2024-09-22,Miscellaneous,Expense,714,Random miscellaneous transaction
2024-11-15,Dining Out,Expense,2434,Random dining out transaction
2024-04-01,Savings,Goal,9495,Random savings transaction
2024-02-08,Insurance,Expense,1611,Random insurance transaction
2024-07-23,Salary,Income,3016,Random salary transaction
2024-10-19,Rent,Expense,3521,Random rent transaction
2024-12-27,Insurance,Expense,3733,Random insurance transaction
2024-07-24,Loan Payment,Expense,1071,Random loan payment transaction
2024-10-26,Savings,Goal,7549,Random savings transaction
2024-03-29,Freelance Income,Income,9859,Random freelance income transaction
2024-10-12,Dining Out,Expense,4338,Random dining out transaction
2024-06-16,Freelance Income,Income,5320,Random freelance income transaction
2024-10-04,Groceries,Expense,2379,Random groceries transaction
2024-11-12,Dining Out,Expense,2955,Random dining out transaction
2024-09-02,Insurance,Expense,3052,Random insurance transaction
2024-12-17,Salary,Income,9094,Random salary transaction
2024-03-04,Transportation,Expense,3498,Random transportation transaction
2024-05-09,Salary,Income,2580,Random salary transaction
2024-02-06,Rent,Expense,61,Random rent transaction
2024-05-23,Salary,Income,7749,Random salary transaction
2024-08-07,Miscellaneous,Expense,1392,Random miscellaneous transaction
2024-07-28,Rent,Expense,3261,Random rent transaction
2024-05-06,Insurance,Expense,2996,Random insurance transaction
2024-09-01,Utilities,Expense,4312,Random utilities transaction
2024-12-11,Rent,Expense,554,Random rent transaction
2024-07-16,Miscellaneous,Expense,3099,Random miscellaneous transaction
2024-06-05,Insurance,Expense,4007,Random insurance transaction
2024-09-03,Transportation,Expense,4219,Random transportation transaction
2024-10-26,Savings,Goal,2367,Random savings transaction
2024-04-04,Entertainment,Expense,2122,Random entertainment transaction
2024-12-25,Rent,Expense,2457,Random rent transaction
2024-08-09,Savings,Goal,7777,Random savings transaction
2024-02-04,Utilities,Expense,3429,Random utilities transaction
2024-07-06,Entertainment,Expense,2610,Random entertainment transaction
2024-02-09,Salary,Income,8567,Random salary transaction
2024-07-27,Savings,Goal,8751,Random savings transaction
2024-03-08,Miscellaneous,Expense,563,Random miscellaneous transaction
2024-11-09,Savings,Goal,9635,Random savings transaction
2024-03-30,Groceries,Expense,615,Random groceries transaction
2024-07-11,Rent,Expense,3972,Random rent transaction
2024-11-05,Entertainment,Expense,2713,Random entertainment transaction
2024-02-25,Miscellaneous,Expense,12,Random miscellaneous transaction
2024-11-02,Savings,Goal,1106,Random savings transaction
2024-04-12,Savings,Goal,9195,Random savings transaction
2024-03-05,Miscellaneous,Expense,1653,Random miscellaneous transaction
2024-10-15,Utilities,Expense,4615,Random utilities transaction
2024-04-05,Dining Out,Expense,436,Random dining out transaction
2024-07-18,Entertainment,Expense,4980,Random entertainment transaction
2024-04-21,Freelance Income,Income,2436,Random freelance income transaction
2024-05-04,Transportation,Expense,1312,Random transportation transaction
2024-08-13,Insurance,Expense,2909,Random insurance transaction
2024-06-19,Rent,Expense,356,Random rent transaction
2024-04-13,Utilities,Expense,2036,Random utilities transaction
2024-07-21,Freelance Income,Income,1091,Random freelance income transaction
2024-02-02,Freelance Income,Income,3226,Random freelance income transaction
2024-06-01,Transportation,Expense,672,Random transportation transaction
2024-03-05,Freelance Income,Income,6595,Random freelance income transaction
2024-01-24,Miscellaneous,Expense,4173,Random miscellaneous transaction
2024-10-28,Salary,Income,2581,Random salary transaction
2024-03-17,Entertainment,Expense,2928,Random entertainment transaction
2024-11-08,Loan Payment,Expense,1307,Random loan payment transaction
2024-01-19,Savings,Goal,2267,Random savings transaction
2024-02-11,Entertainment,Expense,2979,Random entertainment transaction
2024-09-05,Utilities,Expense,2777,Random utilities transaction
2024-11-18,Miscellaneous,Expense,3847,Random miscellaneous transaction
2024-09-25,Miscellaneous,Expense,3060,Random miscellaneous transaction
2024-10-21,Insurance,Expense,3624,Random insurance transaction
2024-09-07,Salary,Income,1218,Random salary transaction
2024-03-12,Savings,Goal,5709,Random savings transaction
2024-03-25,Transportation,Expense,4668,Random transportation transaction
2024-08-30,Rent,Expense,369,Random rent transaction
2024-10-11,Insurance,Expense,2885,Random insurance transaction
2024-12-31,Freelance Income,Income,4336,Random freelance income transaction
2024-02-04,Loan Payment,Expense,2848,Random loan payment transaction
2024-01-31,Groceries,Expense,522,Random groceries transaction
2024-08-21,Entertainment,Expense,2622,Random entertainment transaction
2024-02-17,Rent,Expense,4167,Random rent transaction
2024-06-21,Insurance,Expense,1040,Random insurance transaction
2024-12-27,Savings,Goal,6441,Random savings transaction
2024-06-18,Transportation,Expense,4262,Random transportation transaction
2024-02-25,Loan Payment,Expense,4149,Random loan payment transaction
2024-05-26,Freelance Income,Income,2980,Random freelance income transaction
2024-03-07,Miscellaneous,Expense,868,Random miscellaneous transaction
2024-10-17,Salary,Income,8303,Random salary transaction
2024-09-23,Utilities,Expense,243,Random utilities transaction
2024-01-22,Dining Out,Expense,1161,Random dining out transaction
2024-09-10,Loan Payment,Expense,3232,Random loan payment transaction
2024-08-07,Utilities,Expense,2736,Random utilities transaction
2024-09-26,Freelance Income,Income,1029,Random freelance income transaction
2024-12-23,Rent,Expense,591,Random rent transaction
2024-07-20,Transportation,Expense,596,Random transportation transaction
2024-07-16,Savings,Goal,8214,Random savings transaction
2024-10-12,Insurance,Expense,3280,Random insurance transaction
2024-02-10,Miscellaneous,Expense,4821,Random miscellaneous transaction
2024-07-22,Loan Payment,Expense,2276,Random loan payment transaction
2024-04-04,Utilities,Expense,2860,Random utilities transaction
2024-02-09,Salary,Income,2375,Random salary transaction
2024-09-09,Entertainment,Expense,4419,Random entertainment transaction
2024-05-20,Transportation,Expense,212,Random transportation transaction
2024-06-20,Insurance,Expense,2338,Random insurance transaction
2024-01-04,Insurance,Expense,4576,Random insurance transaction
2024-08-03,Miscellaneous,Expense,2618,Random miscellaneous transaction
2024-11-07,Insurance,Expense,4424,Random insurance transaction
2024-06-24,Entertainment,Expense,4291,Random entertainment transaction
2024-06-06,Rent,Expense,323,Random rent transaction
2024-04-05,Miscellaneous,Expense,1473,Random miscellaneous transaction
2024-04-28,Dining Out,Expense,657,Random dining out transaction
2024-12-27,Entertainment,Expense,4757,Random entertainment transaction
2024-09-17,Insurance,Expense,4975,Random insurance transaction
2024-04-09,Loan Payment,Expense,457,Random loan payment transaction
2024-06-04,Transportation,Expense,2453,Random transportation transaction
2024-05-01,Loan Payment,Expense,552,Random loan payment transaction
2024-03-06,Savings,Goal,4723,Random savings transaction
2024-06-11,Rent,Expense,2610,Random rent transaction
2024-02-27,Utilities,Expense,3597,Random utilities transaction
2024-08-21,Savings,Goal,5278,Random savings transaction
2024-12-26,Loan Payment,Expense,2877,Random loan payment transaction
2024-06-03,Savings,Goal,574,Random savings transaction
2024-04-02,Insurance,Expense,188,Random insurance transaction
2024-07-07,Entertainment,Expense,1719,Random entertainment transaction
2024-02-07,Rent,Expense,1319,Random rent transaction
2024-06-07,Loan Payment,Expense,2390,Random loan payment transaction
2024-10-21,Groceries,Expense,4666,Random groceries transaction
2024-08-16,Insurance,Expense,1738,Random insurance transaction
2024-11-18,Salary,Income,1252,Random salary transaction
2024-06-05,Insurance,Expense,3049,Random insurance transaction
2024-09-04,Salary,Income,2530,Random salary transaction
2024-07-29,Groceries,Expense,4240,Random groceries transaction
2024-11-05,Savings,Goal,9671,Random savings transaction
2024-09-18,Rent,Expense,3858,Random rent transaction
2024-12-30,Savings,Goal,3565,Random savings transaction
2024-11-24,Transportation,Expense,2716,Random transportation transaction
2024-01-26,Salary,Income,6177,Random salary transaction
2024-10-05,Savings,Goal,570,Random savings transaction
2024-04-03,Insurance,Expense,1742,Random insurance transaction
2024-04-20,Transportation,Expense,3636,Random transportation transaction
2024-02-01,Salary,Income,5729,Random salary transaction
2024-07-24,Salary,Income,1165,Random salary transaction
2024-11-21,Insurance,Expense,2806,Random insurance transaction
2024-10-19,Entertainment,Expense,1503,Random entertainment transaction
2024-02-19,Groceries,Expense,3720,Random groceries transaction
2024-01-17,Dining Out,Expense,4190,Random dining out transaction
2024-01-27,Loan Payment,Expense,1198,Random loan payment transaction
2024-09-27,Rent,Expense,1472,Random rent transaction
2024-07-29,Rent,Expense,1814,Random rent transaction
2024-05-01,Dining Out,Expense,4454,Random dining out transaction
2024-03-05,Groceries,Expense,69,Random groceries transaction
2024-11-12,Freelance Income,Income,9328,Random freelance income transaction
2024-03-12,Savings,Goal,1351,Random savings transaction
2024-06-23,Rent,Expense,4860,Random rent transaction
2024-03-23,Miscellaneous,Expense,3416,Random miscellaneous transaction
2024-04-30,Rent,Expense,4413,Random rent transaction
2024-05-28,Groceries,Expense,4261,Random groceries transaction
2024-12-24,Dining Out,Expense,1349,Random dining out transaction
2024-12-09,Loan Payment,Expense,4138,Random loan payment transaction
2024-06-07,Utilities,Expense,4130,Random utilities transaction
2024-08-30,Rent,Expense,1620,Random rent transaction
2024-10-30,Dining Out,Expense,766,Random dining out transaction
2024-10-25,Rent,Expense,917,Random rent transaction
2024-07-17,Transportation,Expense,4811,Random transportation transaction
2024-02-03,Dining Out,Expense,115,Random dining out transaction
2024-10-02,Rent,Expense,72,Random rent transaction
2024-02-10,Loan Payment,Expense,1948,Random loan payment transaction
2024-10-26,Freelance Income,Income,2342,Random freelance income transaction
2024-05-15,Freelance Income,Income,9353,Random freelance income transaction
2024-07-27,Salary,Income,215,Random salary transaction
2024-01-15,Transportation,Expense,1635,Random transportation transaction
2024-05-01,Dining Out,Expense,4754,Random dining out transaction
2024-12-25,Utilities,Expense,1850,Random utilities transaction
2024-05-06,Groceries,Expense,1800,Random groceries transaction
2024-02-27,Transportation,Expense,791,Random transportation transaction
2024-07-21,Utilities,Expense,839,Random utilities transaction
2024-01-09,Rent,Expense,3576,Random rent transaction
2024-02-10,Entertainment,Expense,228,Random entertainment transaction
2024-10-04,Freelance Income,Income,7186,Random freelance income transaction
2024-11-17,Utilities,Expense,443,Random utilities transaction
2024-04-25,Groceries,Expense,484,Random groceries transaction
2024-03-24,Savings,Goal,1649,Random savings transaction
2024-05-19,Insurance,Expense,2865,Random insurance transaction
2024-06-13,Miscellaneous,Expense,383,Random miscellaneous transaction
2024-12-20,Savings,Goal,2212,Random savings transaction
2024-07-13,Transportation,Expense,913,Random transportation transaction
2024-06-12,Insurance,Expense,2231,Random insurance transaction
2024-08-31,Transportation,Expense,843,Random transportation transaction
2024-12-16,Savings,Goal,7902,Random savings transaction
2024-01-05,Transportation,Expense,681,Random transportation transaction
2024-12-12,Savings,Goal,4908,Random savings transaction
2024-02-25,Miscellaneous,Expense,931,Random miscellaneous transaction
2024-01-24,Dining Out,Expense,2960,Random dining out transaction
2024-07-02,Savings,Goal,718,Random savings transaction
2024-12-17,Freelance Income,Income,339,Random freelance income transaction
2024-08-03,Insurance,Expense,4148,Random insurance transaction
2024-08-01,Savings,Goal,1099,Random savings transaction
2024-04-09,Groceries,Expense,1593,Random groceries transaction
2024-03-25,Savings,Goal,4105,Random savings transaction
2024-05-31,Transportation,Expense,2583,Random transportation transaction
2024-07-02,Entertainment,Expense,2003,Random entertainment transaction
2024-10-11,Loan Payment,Expense,3037,Random loan payment transaction
2024-05-11,Miscellaneous,Expense,4052,Random miscellaneous transaction
2024-05-29,Miscellaneous,Expense,3513,Random miscellaneous transaction
2024-05-10,Rent,Expense,1650,Random rent transaction
2024-02-23,Freelance Income,Income,9705,Random freelance income transaction
2024-02-07,Rent,Expense,3858,Random rent transaction
2024-04-16,Insurance,Expense,669,Random insurance transaction
2024-05-05,Insurance,Expense,3486,Random insurance transaction
2024-03-29,Rent,Expense,2261,Random rent transaction
2024-02-20,Insurance,Expense,2446,Random insurance transaction
2024-09-02,Utilities,Expense,4842,Random utilities transaction
2024-12-16,Savings,Goal,2848,Random savings transaction
2024-01-23,Insurance,Expense,1185,Random insurance transaction
2024-07-10,Groceries,Expense,3917,Random groceries transaction
2024-07-28,Dining Out,Expense,4529,Random dining out transaction
2024-10-10,Miscellaneous,Expense,927,Random miscellaneous transaction
2024-03-15,Insurance,Expense,2589,Random insurance transaction
2024-06-30,Miscellaneous,Expense,772,Random miscellaneous transaction
2024-06-09,Dining Out,Expense,480,Random dining out transaction
2024-12-04,Savings,Goal,1736,Random savings transaction
2024-07-05,Entertainment,Expense,3684,Random entertainment transaction
2024-05-03,Utilities,Expense,693,Random utilities transaction
2024-08-13,Miscellaneous,Expense,555,Random miscellaneous transaction
2024-07-04,Freelance Income,Income,4078,Random freelance income transaction
2024-05-09,Insurance,Expense,4503,Random insurance transaction
2024-07-03,Loan Payment,Expense,1581,Random loan payment transaction
2024-05-11,Freelance Income,Income,3171,Random freelance income transaction
2024-04-03,Miscellaneous,Expense,1713,Random miscellaneous transaction
2024-04-26,Loan Payment,Expense,2899,Random loan payment transaction
2025-01-01,Rent,Expense,1169,Random rent transaction
2024-10-23,Miscellaneous,Expense,1463,Random miscellaneous transaction
2024-04-24,Miscellaneous,Expense,4358,Random miscellaneous transaction
2024-03-07,Salary,Income,5655,Random salary transaction
2024-07-27,Transportation,Expense,2915,Random transportation transaction
2024-08-08,Groceries,Expense,4928,Random groceries transaction
2024-07-23,Rent,Expense,1425,Random rent transaction
2024-10-22,Transportation,Expense,62,Random transportation transaction
2024-01-13,Entertainment,Expense,3716,Random entertainment transaction
2024-01-05,Miscellaneous,Expense,2827,Random miscellaneous transaction
2024-10-08,Miscellaneous,Expense,2078,Random miscellaneous transaction
2024-08-29,Dining Out,Expense,776,Random dining out transaction
2024-05-17,Loan Payment,Expense,330,Random loan payment transaction
